JobID|JobName|State|Start|End|Elapsed|ExitCode
6207864|cancellation-cohort|COMPLETED|2026-09-13T02:01:32|2026-09-13T02:01:42|00:00:10|0:0
6207864.batch|batch|COMPLETED|2026-09-13T02:01:32|2026-09-13T02:01:42|00:00:10|0:0
6207864.extern|extern|COMPLETED|2026-09-13T02:01:32|2026-09-13T02:01:46|00:00:14|0:0
6208124|cancellation-verify|COMPLETED|2026-09-13T02:09:13|2026-09-13T02:09:27|00:00:14|0:0
6208124.batch|batch|COMPLETED|2026-09-13T02:09:13|2026-09-13T02:09:27|00:00:14|0:0
6208124.extern|extern|COMPLETED|2026-09-13T02:09:13|2026-09-13T02:09:27|00:00:14|0:0
6208379|input-operator-confirm|COMPLETED|2026-09-13T02:16:34|2026-09-13T02:24:50|00:08:16|0:0
6208379.batch|batch|COMPLETED|2026-09-13T02:16:34|2026-09-13T02:24:50|00:08:16|0:0
6208379.extern|extern|COMPLETED|2026-09-13T02:16:34|2026-09-13T02:24:50|00:08:16|0:0
6208695|interaction-check|COMPLETED|2026-09-13T02:25:23|2026-09-13T02:26:10|00:00:47|0:0
6208695.batch|batch|COMPLETED|2026-09-13T02:25:23|2026-09-13T02:26:10|00:00:47|0:0
6208695.extern|extern|COMPLETED|2026-09-13T02:25:23|2026-09-13T02:26:10|00:00:47|0:0
6208943|interaction-paper|COMPLETED|2026-09-13T02:33:23|2026-09-13T02:33:41|00:00:18|0:0
6208943.batch|batch|COMPLETED|2026-09-13T02:33:23|2026-09-13T02:33:41|00:00:18|0:0
6208943.extern|extern|COMPLETED|2026-09-13T02:33:23|2026-09-13T02:33:42|00:00:19|0:0
6209079|interaction-package|COMPLETED|2026-09-13T02:39:46|2026-09-13T02:40:06|00:00:20|0:0
6209079.batch|batch|COMPLETED|2026-09-13T02:39:46|2026-09-13T02:40:06|00:00:20|0:0
6209079.extern|extern|COMPLETED|2026-09-13T02:39:46|2026-09-13T02:40:06|00:00:20|0:0
6209662|interaction-secondary|COMPLETED|2026-09-13T02:55:27|2026-09-13T02:55:39|00:00:12|0:0
6209662.batch|batch|COMPLETED|2026-09-13T02:55:27|2026-09-13T02:55:39|00:00:12|0:0
6209662.extern|extern|COMPLETED|2026-09-13T02:55:27|2026-09-13T02:55:39|00:00:12|0:0
