JobID|JobName|State|ExitCode|Elapsed|AllocTRES|NodeList
6161267_0|hazard-composition-audit|COMPLETED|0:0|00:00:45|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1|qgpu2004
6161267_0.batch|batch|COMPLETED|0:0|00:00:45|cpu=4,gres/gpu=1,mem=16G,node=1|qgpu2004
6161267_0.extern|extern|COMPLETED|0:0|00:00:45|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1|qgpu2004
6161267_1|hazard-composition-audit|COMPLETED|0:0|00:00:46|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1|qgpu0207
6161267_1.batch|batch|COMPLETED|0:0|00:00:46|cpu=4,gres/gpu=1,mem=16G,node=1|qgpu0207
6161267_1.extern|extern|COMPLETED|0:0|00:00:46|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1|qgpu0207
6161267_2|hazard-composition-audit|COMPLETED|0:0|00:00:46|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1|qgpu2004
6161267_2.batch|batch|COMPLETED|0:0|00:00:46|cpu=4,gres/gpu=1,mem=16G,node=1|qgpu2004
6161267_2.extern|extern|COMPLETED|0:0|00:00:46|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1|qgpu2004
6161459_0|hazard-balanced-repair|COMPLETED|0:0|00:00:51|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1|qgpu0207
6161459_0.batch|batch|COMPLETED|0:0|00:00:51|cpu=4,gres/gpu=1,mem=16G,node=1|qgpu0207
6161459_0.extern|extern|COMPLETED|0:0|00:00:51|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1|qgpu0207
6161459_1|hazard-balanced-repair|COMPLETED|0:0|00:00:53|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1|qgpu2004
6161459_1.batch|batch|COMPLETED|0:0|00:00:53|cpu=4,gres/gpu=1,mem=16G,node=1|qgpu2004
6161459_1.extern|extern|COMPLETED|0:0|00:00:53|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1|qgpu2004
6161459_2|hazard-balanced-repair|COMPLETED|0:0|00:00:51|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1|qgpu2003
6161459_2.batch|batch|COMPLETED|0:0|00:00:51|cpu=4,gres/gpu=1,mem=16G,node=1|qgpu2003
6161459_2.extern|extern|COMPLETED|0:0|00:00:51|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1|qgpu2003
