JobID|JobName|State|ExitCode|Elapsed|NodeList|AllocTRES
6176243|c3-independent-preflight|FAILED|1:0|00:00:30|qnode0015|billing=18,cpu=4,mem=8G,node=1
6176243.batch|batch|FAILED|1:0|00:00:30|qnode0015|cpu=4,mem=8G,node=1
6176243.extern|extern|COMPLETED|0:0|00:00:30|qnode0015|billing=18,cpu=4,mem=8G,node=1
6176335|c3-independent-preflight|COMPLETED|0:0|00:00:38|qnode0015|billing=18,cpu=4,mem=8G,node=1
6176335.batch|batch|COMPLETED|0:0|00:00:38|qnode0015|cpu=4,mem=8G,node=1
6176335.extern|extern|COMPLETED|0:0|00:00:40|qnode0015|billing=18,cpu=4,mem=8G,node=1
6176471|c3-independent-preflight|COMPLETED|0:0|00:00:34|qnode0015|billing=18,cpu=4,mem=8G,node=1
6176471.batch|batch|COMPLETED|0:0|00:00:34|qnode0015|cpu=4,mem=8G,node=1
6176471.extern|extern|COMPLETED|0:0|00:00:34|qnode0015|billing=18,cpu=4,mem=8G,node=1
6176517|c3-report-dependencies|COMPLETED|0:0|00:00:17|qnode0027|billing=9,cpu=2,mem=4G,node=1
6176517.batch|batch|COMPLETED|0:0|00:00:17|qnode0027|cpu=2,mem=4G,node=1
6176517.extern|extern|COMPLETED|0:0|00:00:17|qnode0027|billing=9,cpu=2,mem=4G,node=1
6176529|c3-independent-dataset|COMPLETED|0:0|00:01:08|qnode0015|billing=18,cpu=4,mem=12G,node=1
6176529.batch|batch|COMPLETED|0:0|00:01:08|qnode0015|cpu=4,mem=12G,node=1
6176529.extern|extern|COMPLETED|0:0|00:01:08|qnode0015|billing=18,cpu=4,mem=12G,node=1
6176551|c3-independent-report|CANCELLED by 5775|0:0|00:06:32|qnode0159|billing=18,cpu=4,mem=16G,node=1
6176551.batch|batch|CANCELLED|0:15|00:06:34|qnode0159|cpu=4,mem=16G,node=1
6176551.extern|extern|COMPLETED|0:0|00:06:37|qnode0159|billing=18,cpu=4,mem=16G,node=1
6176550_0|c3-independent-confirm|COMPLETED|0:0|00:00:50|qgpu0401|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6176550_0.batch|batch|COMPLETED|0:0|00:00:50|qgpu0401|cpu=4,gres/gpu=1,mem=16G,node=1
