JobID|JobName|State|Start|End|Elapsed|ExitCode
6205540|matched-risk-curves|COMPLETED|2026-09-13T01:16:07|2026-09-13T01:16:23|00:00:16|0:0
6205540.batch|batch|COMPLETED|2026-09-13T01:16:07|2026-09-13T01:16:23|00:00:16|0:0
6205540.extern|extern|COMPLETED|2026-09-13T01:16:07|2026-09-13T01:16:23|00:00:16|0:0
6206091|matched-risk-check|COMPLETED|2026-09-13T01:21:33|2026-09-13T01:21:52|00:00:19|0:0
6206091.batch|batch|COMPLETED|2026-09-13T01:21:33|2026-09-13T01:21:52|00:00:19|0:0
6206091.extern|extern|COMPLETED|2026-09-13T01:21:33|2026-09-13T01:21:52|00:00:19|0:0
6206817|diagnostic-revision|COMPLETED|2026-09-13T01:28:18|2026-09-13T01:28:35|00:00:17|0:0
6206817.batch|batch|COMPLETED|2026-09-13T01:28:18|2026-09-13T01:28:35|00:00:17|0:0
6206817.extern|extern|COMPLETED|2026-09-13T01:28:18|2026-09-13T01:28:35|00:00:17|0:0
6207364|diagnostic-revision|COMPLETED|2026-09-13T01:33:10|2026-09-13T01:33:27|00:00:17|0:0
6207364.batch|batch|COMPLETED|2026-09-13T01:33:10|2026-09-13T01:33:27|00:00:17|0:0
6207364.extern|extern|COMPLETED|2026-09-13T01:33:10|2026-09-13T01:33:27|00:00:17|0:0
6207454|diagnostic-package|COMPLETED|2026-09-13T01:36:44|2026-09-13T01:37:04|00:00:20|0:0
6207454.batch|batch|COMPLETED|2026-09-13T01:36:44|2026-09-13T01:37:04|00:00:20|0:0
6207454.extern|extern|COMPLETED|2026-09-13T01:36:44|2026-09-13T01:37:04|00:00:20|0:0
