JobID|JobName|State|ExitCode|Elapsed
6186376|rellis-metadata|COMPLETED|0:0|00:00:06
6186376.batch|batch|COMPLETED|0:0|00:00:06
6186376.extern|extern|COMPLETED|0:0|00:00:06
6186684|rellis-pilot-data|FAILED|1:0|00:00:05
6186684.batch|batch|FAILED|1:0|00:00:05
6186684.extern|extern|COMPLETED|0:0|00:00:05
6186742|rellis-pilot-data|COMPLETED|0:0|00:03:05
6186742.batch|batch|COMPLETED|0:0|00:03:05
6186742.extern|extern|COMPLETED|0:0|00:03:07
6187158|rellis-geometry|FAILED|1:0|00:00:13
6187158.batch|batch|FAILED|1:0|00:00:13
6187158.extern|extern|COMPLETED|0:0|00:00:13
6187239|rellis-geometry|COMPLETED|0:0|00:00:15
6187239.batch|batch|COMPLETED|0:0|00:00:15
6187239.extern|extern|COMPLETED|0:0|00:00:15
6187394|rellis-verify|COMPLETED|0:0|00:00:16
6187394.batch|batch|COMPLETED|0:0|00:00:16
6187394.extern|extern|COMPLETED|0:0|00:00:16
6187474|rellis-report|COMPLETED|0:0|00:00:15
6187474.batch|batch|COMPLETED|0:0|00:00:15
6187474.extern|extern|COMPLETED|0:0|00:00:21
6188262|rellis-delivery|FAILED|1:0|00:00:01
6188262.batch|batch|FAILED|1:0|00:00:01
6188262.extern|extern|COMPLETED|0:0|00:00:01
6188318|rellis-delivery|COMPLETED|0:0|00:00:02
6188318.batch|batch|COMPLETED|0:0|00:00:02
6188318.extern|extern|COMPLETED|0:0|00:00:02
