JobID|JobName|State|Start|End|Elapsed|ExitCode
6196439|same-info-development|FAILED|2026-09-12T22:10:10|2026-09-12T22:10:37|00:00:27|1:0
6196439.batch|batch|FAILED|2026-09-12T22:10:10|2026-09-12T22:10:37|00:00:27|1:0
6196439.extern|extern|COMPLETED|2026-09-12T22:10:10|2026-09-12T22:10:37|00:00:27|0:0
6196507|same-info-development|COMPLETED|2026-09-12T22:11:40|2026-09-12T22:14:15|00:02:35|0:0
6196507.batch|batch|COMPLETED|2026-09-12T22:11:40|2026-09-12T22:14:15|00:02:35|0:0
6196507.extern|extern|COMPLETED|2026-09-12T22:11:40|2026-09-12T22:14:15|00:02:35|0:0
6196562|same-info-appended|COMPLETED|2026-09-12T22:14:27|2026-09-12T22:17:02|00:02:35|0:0
6196562.batch|batch|COMPLETED|2026-09-12T22:14:27|2026-09-12T22:17:02|00:02:35|0:0
6196562.extern|extern|COMPLETED|2026-09-12T22:14:27|2026-09-12T22:17:02|00:02:35|0:0
6196734|same-info-report|COMPLETED|2026-09-12T22:18:26|2026-09-12T22:19:06|00:00:40|0:0
6196734.batch|batch|COMPLETED|2026-09-12T22:18:26|2026-09-12T22:19:06|00:00:40|0:0
6196734.extern|extern|COMPLETED|2026-09-12T22:18:26|2026-09-12T22:19:09|00:00:43|0:0
6196925|same-info-verify-plot|COMPLETED|2026-09-12T22:24:44|2026-09-12T22:25:36|00:00:52|0:0
6196925.batch|batch|COMPLETED|2026-09-12T22:24:44|2026-09-12T22:25:36|00:00:52|0:0
6196925.extern|extern|COMPLETED|2026-09-12T22:24:44|2026-09-12T22:25:36|00:00:52|0:0
6197096|coarse-paper-pdf|FAILED|2026-09-12T22:33:08|2026-09-12T22:33:52|00:00:44|1:0
6197096.batch|batch|FAILED|2026-09-12T22:33:08|2026-09-12T22:33:52|00:00:44|1:0
6197096.extern|extern|COMPLETED|2026-09-12T22:33:08|2026-09-12T22:33:52|00:00:44|0:0
6197151|coarse-paper-pdf|FAILED|2026-09-12T22:34:43|2026-09-12T22:34:58|00:00:15|1:0
6197151.batch|batch|FAILED|2026-09-12T22:34:43|2026-09-12T22:34:58|00:00:15|1:0
6197151.extern|extern|COMPLETED|2026-09-12T22:34:43|2026-09-12T22:34:58|00:00:15|0:0
6197203|coarse-paper-pdf|FAILED|2026-09-12T22:37:09|2026-09-12T22:37:24|00:00:15|127:0
6197203.batch|batch|FAILED|2026-09-12T22:37:09|2026-09-12T22:37:24|00:00:15|127:0
6197203.extern|extern|COMPLETED|2026-09-12T22:37:09|2026-09-12T22:37:24|00:00:15|0:0
6197341|coarse-paper-render|COMPLETED|2026-09-12T22:40:06|2026-09-12T22:40:09|00:00:03|0:0
6197341.batch|batch|COMPLETED|2026-09-12T22:40:06|2026-09-12T22:40:09|00:00:03|0:0
6197341.extern|extern|COMPLETED|2026-09-12T22:40:06|2026-09-12T22:40:09|00:00:03|0:0
6197565|coarse-paper-pdf|COMPLETED|2026-09-12T22:47:03|2026-09-12T22:47:19|00:00:16|0:0
6197565.batch|batch|COMPLETED|2026-09-12T22:47:03|2026-09-12T22:47:19|00:00:16|0:0
6197565.extern|extern|COMPLETED|2026-09-12T22:47:03|2026-09-12T22:47:19|00:00:16|0:0
6197704|coarse-paper-pdf|COMPLETED|2026-09-12T22:50:55|2026-09-12T22:51:10|00:00:15|0:0
6197704.batch|batch|COMPLETED|2026-09-12T22:50:55|2026-09-12T22:51:10|00:00:15|0:0
6197704.extern|extern|COMPLETED|2026-09-12T22:50:55|2026-09-12T22:51:10|00:00:15|0:0
6197893|coarse-paper-pdf|COMPLETED|2026-09-12T22:56:26|2026-09-12T22:56:41|00:00:15|0:0
6197893.batch|batch|COMPLETED|2026-09-12T22:56:26|2026-09-12T22:56:41|00:00:15|0:0
6197893.extern|extern|COMPLETED|2026-09-12T22:56:26|2026-09-12T22:56:41|00:00:15|0:0
6198386|coarse-paper-package|COMPLETED|2026-09-12T23:06:16|2026-09-12T23:06:35|00:00:19|0:0
6198386.batch|batch|COMPLETED|2026-09-12T23:06:16|2026-09-12T23:06:35|00:00:19|0:0
6198386.extern|extern|COMPLETED|2026-09-12T23:06:16|2026-09-12T23:06:35|00:00:19|0:0
